,anime_id,title,title_english,genre,user_rating,score,scored_by
0,31646,3-gatsu no Lion,March comes in like a lion,"Game, Slice of Life, Drama, Seinen",8.0,8.43,66567
1,57,Beck,Beck: Mongolian Chop Squad,"Comedy, Drama, Music, Shounen, Slice of Life",9.0,8.37,87024
2,1,Cowboy Bebop,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",8.0,8.81,365465
3,813,Dragon Ball Z,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",8.0,8.31,367982
4,28851,Koe no Katachi,A Silent Voice,"Drama, School, Shounen",9.0,9.04,296261
5,32182,Mob Psycho 100,Mob Psycho 100,"Action, Slice of Life, Comedy, Supernatural",9.0,8.51,272959
6,30,Neon Genesis Evangelion,Neon Genesis Evangelion,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",8.0,8.32,364012
7,13601,Psycho-Pass,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",8.0,8.45,377003
8,35968,Wotaku ni Koi wa Muzukashii,,"Comedy, Romance",9.0,7.98,15848
